集計年,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,C,鉱業，採石業，砂利採取業,年齢計,31.2283,93.9023,468.6416
2010,C,鉱業，採石業，砂利採取業,～19歳,18.34,28.2117,248.2917
2010,C,鉱業，採石業，砂利採取業,20～24歳,20.52,67.4473,313.6873
2010,C,鉱業，採石業，砂利採取業,25～29歳,25.0535,76.8142,377.456
2010,C,鉱業，採石業，砂利採取業,30～34歳,27.8412,72.1694,406.2639
2010,C,鉱業，採石業，砂利採取業,35～39歳,30.6428,88.495,456.209
2010,C,鉱業，採石業，砂利採取業,40～44歳,32.3186,101.8686,489.692
2010,C,鉱業，採石業，砂利採取業,45～49歳,35.3451,122.9471,547.0881
2010,C,鉱業，採石業，砂利採取業,50～54歳,37.2001,133.6753,580.0765
2010,C,鉱業，採石業，砂利採取業,55～59歳,34.6322,109.0568,524.6436
2010,C,鉱業，採石業，砂利採取業,60～64歳,25.658,39.4921,347.3881
2010,C,鉱業，採石業，砂利採取業,65～69歳,21.0987,14.9123,268.0968
2010,C,鉱業，採石業，砂利採取業,70歳～,21.362,3.02,259.364
2010,D,建設業,年齢計,30.83,61.5848,431.5451
2010,D,建設業,～19歳,17.5597,10.3901,221.1069
2010,D,建設業,20～24歳,19.8125,33.8208,271.5713
2010,D,建設業,25～29歳,23.1536,44.2542,322.0976
2010,D,建設業,30～34歳,26.7319,51.9366,372.7198
2010,D,建設業,35～39歳,30.5425,65.498,432.0082
2010,D,建設業,40～44歳,34.0617,72.6591,481.3996
2010,D,建設業,45～49歳,36.2031,78.9696,513.4074
2010,D,建設業,50～54歳,37.2806,80.6231,527.9899
2010,D,建設業,55～59歳,36.553,74.8928,513.5285
2010,D,建設業,60～64歳,28.5791,43.5801,386.5291
2010,D,建設業,65～69歳,25.0436,26.9167,327.4402
2010,D,建設業,70歳～,21.4879,9.4077,267.2624
2010,E,製造業,年齢計,29.2249,86.0234,436.7223
2010,E,製造業,～19歳,16.9824,16.8902,220.6786
2010,E,製造業,20～24歳,18.8814,42.21,268.7869
2010,E,製造業,25～29歳,22.1806,57.257,323.4246
2010,E,製造業,30～34歳,25.3159,72.4329,376.2231
2010,E,製造業,35～39歳,28.8047,86.3039,431.9607
2010,E,製造業,40～44歳,32.7605,102.1703,495.2958
2010,E,製造業,45～49歳,35.8499,117.4147,547.6135
